"","X","Longitude","Latitude","state","MinKm","soil_i_or_is"
"1794",10032,-103.812236785889,40.2957248687744,"Colorado",132.4924760585,"199"
"1795",10033,-104.400300979614,40.2957248687744,"Colorado",132.523155139762,"324"
"1796",10034,-104.98836517334,40.2957248687744,"Colorado",132.091658480357,"324"
"1797",10035,-105.576429367065,40.2957248687744,"Colorado",130.316189504001,"180"
"1798",10036,-106.164493560791,40.2957248687744,"Colorado",114.015950237982,"180"
"1799",10037,-106.752557754517,40.2957248687744,"Colorado",118.707399591767,"180"
"1800",10038,-107.340621948242,40.2957248687744,"Colorado",142.329517564778,"180"
"1801",10039,-107.928686141968,40.2957248687744,"Colorado",177.477056045939,"180"
"1802",10040,-108.516750335693,40.2957248687744,"Colorado",218.660017504056,"180"
"1803",10041,-109.104814529419,40.2957248687744,"Utah",259.857748542695,"160"
"1804",10042,-109.692878723145,40.2957248687744,"Utah",213.323877715932,"160"
"1805",10043,-110.28094291687,40.2957248687744,"Utah",168.615075798166,"160"
"1806",10044,-110.869007110596,40.2957248687744,"Utah",127.666419640857,"160"
"1807",10045,-111.457071304321,40.2957248687744,"Utah",95.4496331572532,"160"
"1808",10046,-112.045135498047,40.2957248687744,"Utah",82.8680801505078,"160"
"1809",10047,-112.633199691772,40.2957248687744,"Utah",97.8175536180988,"160"
"1810",10048,-113.221263885498,40.2957248687744,"Utah",131.20204602072,"160"
"1811",10049,-113.809328079224,40.2957248687744,"Utah",98.1160469445575,"314"
"1812",10050,-114.397392272949,40.2957248687744,"Nevada",51.1946985735528,"314"
"1813",10051,-114.985456466675,40.2957248687744,"Nevada",24.4727602377211,"314"
"1814",10052,-115.5735206604,40.2957248687744,"Nevada",59.67331608509,"314"
"1815",10053,-116.161584854126,40.2957248687744,"Nevada",107.269436677644,"314"
"1816",10054,-116.749649047852,40.2957248687744,"Nevada",156.320332893152,"314"
"1817",10055,-117.337713241577,40.2957248687744,"Nevada",194.093127500457,"310"
"1818",10056,-117.925777435303,40.2957248687744,"Nevada",154.788695117711,"310"
"1819",10057,-118.513841629028,40.2957248687744,"Nevada",123.763810598405,"310"
"1820",10058,-119.101905822754,40.2957248687744,"Nevada",77.8392400636549,"312"
"1821",10059,-119.689970016479,40.2957248687744,"Nevada",35.4228814859029,"312"
"1822",10060,-120.278034210205,40.2957248687744,"California",37.8511859677519,"312"
"1823",10061,-120.866098403931,40.2957248687744,"California",37.2788983944339,"143"
"1824",10062,-121.454162597656,40.2957248687744,"California",71.5028463046976,"143"
"1825",10063,-122.042226791382,40.2957248687744,"California",76.9226802797603,"144-145-146"
"1826",10064,-122.630290985107,40.2957248687744,"California",79.3865967243912,"144-145-146"
"1827",10065,-123.218355178833,40.2957248687744,"California",108.333306749842,"144-145-146"
"1828",10066,-123.806419372559,40.2957248687744,"California",149.058657618095,"144-145-146"
"1829",10176,-73.2881736755371,40.7460021972656,"New York",213.647228914231,"309"
"1830",10177,-73.8801860809326,40.7460021972656,"New York",175.590369916514,"309"
